date,open,high,low,close,volume
2024-01-01T00:00:00,42283.58,42554.57,42261.02,42419.73,823.95971
2024-01-01T00:30:00,42419.73,42490.74,42354.19,42475.23,447.72137
2024-01-01T01:00:00,42475.23,42513.17,42431.65,42493.16,341.2479
2024-01-01T01:30:00,42493.16,42775.0,42493.16,42613.56,855.13066
2024-01-01T02:00:00,42613.57,42638.41,42531.1,42546.01,356.59799
2024-01-01T02:30:00,42546.0,42606.25,42500.0,42581.1,328.62181
2024-01-01T03:00:00,42581.09,42586.64,42419.39,42429.47,344.99248
2024-01-01T03:30:00,42429.47,42459.02,42230.08,42330.49,449.81143
2024-01-01T04:00:00,42330.5,42377.43,42209.46,42307.39,418.97363
2024-01-01T04:30:00,42307.4,42399.99,42283.86,42399.99,296.44397
2024-01-01T05:00:00,42399.98,42406.0,42297.9,42297.91,371.73868
2024-01-01T05:30:00,42297.91,42321.13,42180.77,42234.01,364.79284
2024-01-01T06:00:00,42234.01,42344.76,42208.68,42321.1,308.85704
2024-01-01T06:30:00,42321.1,42424.82,42309.15,42396.69,292.51546
2024-01-01T07:00:00,42396.69,42500.0,42396.68,42487.7,408.0417
2024-01-01T07:30:00,42487.7,42500.0,42432.56,42492.46,245.63548
2024-01-01T08:00:00,42492.46,42537.53,42452.58,42482.0,230.6424
2024-01-01T08:30:00,42482.0,42556.5,42461.1,42549.99,196.55125
2024-01-01T09:00:00,42550.0,42658.44,42537.18,42588.01,381.42169
2024-01-01T09:30:00,42588.01,42699.32,42588.0,42649.69,498.20322
2024-01-01T10:00:00,42649.69,42708.93,42628.0,42666.42,408.70667
2024-01-01T10:30:00,42666.41,42749.36,42666.41,42691.1,448.11184
2024-01-01T11:00:00,42691.1,42762.39,42653.33,42681.1,465.58083
2024-01-01T11:30:00,42681.11,42699.99,42605.21,42690.2,319.58484
2024-01-01T12:00:00,42690.21,42739.22,42611.45,42684.15,296.54569
2024-01-01T12:30:00,42684.16,42780.0,42643.68,42648.38,488.98282
2024-01-01T13:00:00,42648.37,42733.81,42612.76,42717.27,273.94143
2024-01-01T13:30:00,42717.28,42748.0,42670.0,42715.54,223.26097
2024-01-01T14:00:00,42715.54,42715.55,42580.0,42621.09,363.53018
2024-01-01T14:30:00,42621.1,42661.89,42586.5,42612.24,347.48134
2024-01-01T15:00:00,42612.24,42733.28,42586.51,42683.2,290.25964
2024-01-01T15:30:00,42683.21,42847.07,42601.1,42783.05,652.44199
2024-01-01T16:00:00,42783.05,42856.0,42664.42,42723.04,607.93238
2024-01-01T16:30:00,42723.03,42782.6,42703.39,42725.15,310.77818
2024-01-01T17:00:00,42725.15,42781.09,42718.72,42731.11,374.73086
